,DATE,EURO19INTERESTRATE
243,2020-04-01,-0.5354685
244,2020-05-01,-0.540192
245,2020-06-01,-0.544465
246,2020-07-01,-0.549555652173913
247,2020-08-01,-0.552087619047619
248,2020-09-01,-0.552932727272727
249,2020-10-01,-0.554640909090909
250,2020-11-01,-0.55621619047619
251,2020-12-01,-0.556349090909091
252,2021-01-01,-0.5657645
253,2021-02-01,-0.563521
254,2021-03-01,-0.56376652173913
255,2021-04-01,-0.5660555
256,2021-05-01,-0.56470619047619
257,2021-06-01,-0.564125909090909
258,2021-07-01,-0.566522272727273
259,2021-08-01,-0.5681
260,2021-09-01,-0.569360454545455
261,2021-10-01,-0.570412857142857
262,2021-11-01,-0.573237272727273
263,2021-12-01,-0.576372173913044
264,2022-01-01,-0.579465714285714
265,2022-02-01,-0.576333
266,2022-03-01,-0.577703043478261
267,2022-04-01,-0.583707368421053
268,2022-05-01,-0.584741363636364
269,2022-06-01,-0.582624090909091
270,2022-07-01,-0.571064285714286
271,2022-08-01,-0.0946521739130435
272,2022-09-01,0.254584090909091
273,2022-10-01,0.655378571428571
274,2022-11-01,1.26661954545455
275,2022-12-01,1.50396476190476
276,2023-01-01,1.90131181818182
277,2023-02-01,2.200642
278,2023-03-01,2.50836391304348
279,2023-04-01,2.89908111111111
280,2023-05-01,3.04630909090909
281,2023-06-01,3.20459045454545
282,2023-07-01,3.40326333333333
283,2023-08-01,3.61036652173913
284,2023-09-01,3.7125219047619
285,2023-10-01,3.90106045454545
286,2023-11-01,3.90274363636364
287,2023-12-01,3.90344210526316
